,combination,memory,cpu,elapse
0,2,79.578125,3.4,1.0036640167236328
1,3,79.65234375,3.5,2.010244846343994
2,4,79.6640625,5.4,3.018228054046631
3,5,79.68359375,2.2,4.0264458656311035
4,6,79.7109375,1.1,5.037224054336548
5,7,79.74609375,1.0,6.0466148853302
6,8,79.78515625,5.4,7.057116985321045
7,9,79.78515625,1.4,8.070894956588745
8,10,79.79296875,0.7,9.083708047866821
9,11,79.79296875,3.7,10.096471786499023
10,12,79.84375,7.4,11.112551927566528
11,13,79.84375,10.2,12.129220962524414
12,14,79.9375,4.9,13.145484924316406
13,15,80.01171875,4.4,14.160336971282959
14,16,80.0234375,6.7,15.1805739402771
15,17,80.0234375,8.6,16.196414947509766
16,18,80.046875,6.0,17.214643001556396
17,19,80.09765625,7.1,18.235601902008057
18,20,80.140625,2.1,19.254698038101196
19,20,80.140625,6.0,20.278812885284424
20,20,80.140625,9.3,21.296998023986816
21,20,80.1875,4.7,22.317651987075806
22,20,80.1875,6.1,23.340038061141968
23,20,80.21875,7.6,24.36338496208191
24,20,80.21875,5.3,25.384929895401
25,20,80.21875,6.7,26.405778884887695
26,20,80.2734375,2.2,27.43019199371338
27,20,80.2734375,2.1,28.452921867370605
28,20,80.2734375,1.4,29.47745704650879
29,20,80.328125,2.7,30.500641107559204
30,20,80.328125,2.9,31.52153491973877
31,19,80.328125,1.9,32.544662952423096
32,18,80.328125,1.9,33.56500697135925
33,17,80.328125,1.3,34.58787703514099
34,16,80.41015625,3.1,35.608253955841064
35,15,80.41015625,1.1,36.62775993347168
36,14,80.41015625,2.5,37.64573693275452
37,13,80.41015625,1.2,38.66124606132507
38,12,80.41015625,1.4,39.678343057632446
39,11,80.41015625,1.7,40.69510793685913
40,10,80.41015625,3.0,41.711292028427124
41,9,80.41015625,1.2,42.72643804550171
42,8,80.41015625,3.1,43.737354040145874
43,7,80.41015625,1.3,44.75048899650574
44,6,80.41015625,2.1,45.75955271720886
45,5,80.41015625,2.6,46.77166295051575
46,4,80.4140625,1.8,47.78365707397461
47,3,80.4140625,1.1,48.794578075408936
48,2,80.4140625,1.1,49.80352997779846
49,1,80.4140625,1.3,50.807368993759155
