,calculation_time
0,0.20657634735107422
1,0.3745579719543457
2,0.5875589847564697
3,0.7738382816314697
4,0.9508781433105469
5,1.2307651042938232
6,1.4197602272033691
7,1.679673194885254
8,1.8879029750823975
9,2.1677560806274414
10,2.4547719955444336
11,2.706810235977173
12,2.938725233078003
13,3.192185163497925
14,3.437451124191284
15,3.6510300636291504
16,3.8907010555267334
17,4.111553192138672
18,4.294015169143677
19,4.459654331207275
20,4.632413148880005
21,4.828062057495117
22,5.0005042552948
23,5.17448616027832
24,5.340842008590698
25,5.5602240562438965
26,5.757138967514038
27,5.9560770988464355
28,6.219128131866455
29,6.496717214584351
30,6.729091167449951
31,6.990357160568237
32,7.35345721244812
33,7.579811096191406
34,7.7596611976623535
35,7.966349124908447
36,8.168148040771484
37,8.337415933609009
38,8.508356094360352
39,8.719197988510132
40,8.935281991958618
41,9.104774951934814
42,9.287675142288208
43,9.479724168777466
44,9.620344161987305
45,9.800816297531128
46,9.963359117507935
47,10.146614074707031
48,10.312535047531128
49,10.498099088668823
50,10.645455121994019
51,10.826900005340576
52,11.007565259933472
53,11.179929256439209
54,11.350670099258423
55,11.49735713005066
56,11.667653322219849
57,11.866868019104004
58,12.0921151638031
59,12.303258180618286
60,12.50414514541626
61,12.706353187561035
62,12.99050498008728
63,13.198641300201416
64,13.384436130523682
65,13.5958092212677
66,13.783470153808594
67,13.935347080230713
68,14.138174057006836
69,14.320274114608765
70,14.486192226409912
71,14.645232200622559
72,14.804354190826416
73,14.943589210510254
74,15.141404151916504
75,15.326595067977905
76,15.520900249481201
77,15.705755233764648
78,15.90198016166687
79,16.086331129074097
80,16.269981145858765
81,16.476356267929077
82,16.649907112121582
83,16.829621076583862
84,17.031662225723267
85,17.226912021636963
86,17.424432277679443
87,17.622263193130493
88,17.79410219192505
89,17.959596157073975
90,18.14958906173706
91,18.379253149032593
92,18.54685115814209
93,18.726503133773804
94,18.868287086486816
95,19.06990909576416
96,19.23551321029663
97,19.44792127609253
98,19.693313121795654
99,19.933943033218384
100,20.133980989456177
101,20.301626205444336
102,20.498322010040283
103,20.747334957122803
104,20.932932138442993
105,21.132495164871216
106,21.296322107315063
107,21.49352192878723
108,21.64058232307434
109,21.830097913742065
110,22.01835012435913
111,22.18489408493042
112,22.354477167129517
113,22.536887168884277
114,22.732248067855835
115,22.901363134384155
116,23.083116054534912
117,23.26828908920288
118,23.423009157180786
119,23.596264123916626
120,23.74130630493164
121,23.865149974822998
122,24.047909259796143
123,24.233838081359863
124,24.39345622062683
125,24.570152044296265
126,24.726185083389282
127,24.92844009399414
128,25.091369152069092
129,25.26097011566162
130,25.449986219406128
131,25.61683416366577
132,25.780063152313232
133,25.97188115119934
134,26.13822317123413
135,26.29402232170105
136,26.457062244415283
137,26.616063117980957
138,26.808021068572998
139,26.97202730178833
140,27.144484281539917
141,27.329111099243164
142,27.506582021713257
143,27.68681311607361
144,27.851858139038086
145,28.0230553150177
146,28.174737215042114
147,28.341060161590576
148,28.523580074310303
149,28.71081233024597
150,28.893941164016724
151,29.07509422302246
152,29.24593734741211
153,29.39787721633911
154,29.564815282821655
155,29.76546835899353
156,29.950966119766235
157,30.133202075958252
158,30.314167261123657
159,30.473153114318848
160,30.630088090896606
161,30.80858016014099
162,30.959904193878174
163,31.120700120925903
164,31.288059949874878
165,31.441131114959717
166,31.640305280685425
167,31.820754051208496
168,31.980786085128784
169,32.19021821022034
170,32.386311054229736
171,32.560033082962036
172,32.76938605308533
173,32.980356216430664
174,33.17391920089722
175,33.38688898086548
176,33.684571266174316
177,33.93370294570923
178,34.18323516845703
179,34.43971514701843
180,34.73141098022461
181,34.99537205696106
182,35.207494258880615
183,35.39525508880615
184,35.58485198020935
185,35.776902198791504
186,35.949207067489624
187,36.12394309043884
188,36.3778281211853
189,36.56583499908447
190,36.787604093551636
191,37.04697299003601
192,37.23586416244507
193,37.46262717247009
194,37.69949913024902
195,37.958812952041626
196,38.30579113960266
197,38.61739706993103
198,38.915534257888794
199,39.32773423194885
