from_id,to_id,distance
0,1,349.6927222576987
0,2,94.89467845985885
0,3,108.07867504739313
0,4,390.7902250568711
0,5,210.8293148497144
0,6,21.2602916254693
0,7,247.315587862957
0,8,374.83329627982624
0,9,107.61505470890214
1,2,257.390753524675
1,3,448.52870588179746
1,4,204.83163818121457
1,5,226.88322987827902
1,6,353.4020373455705
1,7,279.03404810166086
1,8,33.24154027718932
1,9,361.09278585981195
2,3,191.55155963865187
2,4,303.37105992497044
2,5,166.6433316997713
2,6,104.04326023342406
2,7,186.25251676151922
2,8,284.1918366174511
2,9,154.0194792875239
3,4,456.3441683641854
3,5,317.5059054568907
3,6,116.70903992407786
3,7,287.2107240337658
3,8,475.73206744973584
3,9,186.6815470259447
4,5,375.54227458436685
4,6,404.7381869801761
4,7,182.42806801586207
4,8,230.3410514867031
4,9,452.6367196770496
5,6,200.9601950635996
5,7,327.670566270454
5,8,236.02754076590298
5,9,161.6168308066954
6,7,266.0620228442985
6,8,377.24262749588627
6,9,86.83893136145792
7,8,312.2579062249665
7,9,336.68976818430343
8,9,378.8416555765746
